kjv_rid,bhs_rid,gnt_rid,lxx_rid,vul_rid
001001001,001001001,"",001001001,001001001
001001002,001001002,"",001001002,001001002
001001003,001001003,"",001001003,001001003
001001004,001001004,"",001001004,001001004
001001005,001001005,"",001001005,001001005
001001006,001001006,"",001001006,001001006
001001007,001001007,"",001001007,001001007
001001008,001001008,"",001001008,001001008
001001009,001001009,"",001001009,001001009
001001010,001001010,"",001001010,001001010
001001011,001001011,"",001001011,001001011
001001012,001001012,"",001001012,001001012
001001013,001001013,"",001001013,001001013
001001014,001001014,"",001001014,001001014
001001015,001001015,"",001001015,001001015
001001016,001001016,"",001001016,001001016
001001017,001001017,"",001001017,001001017
001001018,001001018,"",001001018,001001018
001001019,001001019,"",001001019,001001019
001001020,001001020,"",001001020,001001020
001001021,001001021,"",001001021,001001021
001001022,001001022,"",001001022,001001022
001001023,001001023,"",001001023,001001023
001001024,001001024,"",001001024,001001024
001001025,001001025,"",001001025,001001025
001001026,001001026,"",001001026,001001026
001001027,001001027,"",001001027,001001027
001001028,001001028,"",001001028,001001028
001001029,001001029,"",001001029,001001029
001001030,001001030,"",001001030,001001030
001001031,001001031,"",001001031,001001031
001002001,001002001,"",001002001,001002001
001002002,001002002,"",001002002,001002002
001002003,001002003,"",001002003,001002003
001002004,001002004,"",001002004,001002004
001002005,001002005,"",001002005,001002005
001002006,001002006,"",001002006,001002006
001002007,001002007,"",001002007,001002007
001002008,001002008,"",001002008,001002008
001002009,001002009,"",001002009,001002009
001002010,001002010,"",001002010,001002010
001002011,001002011,"",001002011,001002011
001002012,001002012,"",001002012,001002012
001002013,001002013,"",001002013,001002013
001002014,001002014,"",001002014,001002014
001002015,001002015,"",001002015,001002015
001002016,001002016,"",001002016,001002016
001002017,001002017,"",001002017,001002017
001002018,001002018,"",001002018,001002018
001002019,001002019,"",001002019,001002019
001002020,001002020,"",001002020,001002020
001002021,001002021,"",001002021,001002021
001002022,001002022,"",001002022,001002022
001002023,001002023,"",001002023,001002023
001002024,001002024,"",001002024,001002024
001002025,001002025,"",001002025,001002025
001003001,001003001,"",001003001,001003001
001003002,001003002,"",001003002,001003002
001003003,001003003,"",001003003,001003003
001003004,001003004,"",001003004,001003004
001003005,001003005,"",001003005,001003005
001003006,001003006,"",001003006,001003006
001003007,001003007,"",001003007,001003007
001003008,001003008,"",001003008,001003008
001003009,001003009,"",001003009,001003009
001003010,001003010,"",001003010,001003010
001003011,001003011,"",001003011,001003011
001003012,001003012,"",001003012,001003012
001003013,001003013,"",001003013,001003013
001003014,001003014,"",001003014,001003014
001003015,001003015,"",001003015,001003015
001003016,001003016,"",001003016,001003016
001003017,001003017,"",001003017,001003017
001003018,001003018,"",001003018,001003018
001003019,001003019,"",001003019,001003019
001003020,001003020,"",001003020,001003020
001003021,001003021,"",001003021,001003021
001003022,001003022,"",001003022,001003022
001003023,001003023,"",001003023,001003023
001003024,001003024,"",001003024,001003024
001004001,001004001,"",001004001,001004001
001004002,001004002,"",001004002,001004002
001004003,001004003,"",001004003,001004003
001004004,001004004,"",001004004,001004004
001004005,001004005,"",001004005,001004005
001004006,001004006,"",001004006,001004006
001004007,001004007,"",001004007,001004007
001004008,001004008,"",001004008,001004008
001004009,001004009,"",001004009,001004009
001004010,001004010,"",001004010,001004010
001004011,001004011,"",001004011,001004011
001004012,001004012,"",001004012,001004012
001004013,001004013,"",001004013,001004013
001004014,001004014,"",001004014,001004014
001004015,001004015,"",001004015,001004015
001004016,001004016,"",001004016,001004016
001004017,001004017,"",001004017,001004017
001004018,001004018,"",001004018,001004018
001004019,001004019,"",001004019,001004019
001004020,001004020,"",001004020,001004020
001004021,001004021,"",001004021,001004021
001004022,001004022,"",001004022,001004022
001004023,001004023,"",001004023,001004023
001004024,001004024,"",001004024,001004024
001004025,001004025,"",001004025,001004025
001004026,001004026,"",001004026,001004026
001005001,001005001,"",001005001,001005001
001005002,001005002,"",001005002,001005002
001005003,001005003,"",001005003,001005003
001005004,001005004,"",001005004,001005004
001005005,001005005,"",001005005,001005005
001005006,001005006,"",001005006,001005006
001005007,001005007,"",001005007,001005007
001005008,001005008,"",001005008,001005008
001005009,001005009,"",001005009,001005009
001005010,001005010,"",001005010,001005010
001005011,001005011,"",001005011,001005011
001005012,001005012,"",001005012,001005012
001005013,001005013,"",001005013,001005013
001005014,001005014,"",001005014,001005014
001005015,001005015,"",001005015,001005015
001005016,001005016,"",001005016,001005016
001005017,001005017,"",001005017,001005017
001005018,001005018,"",001005018,001005018
001005019,001005019,"",001005019,001005019
